Route Type,Route,Stop Code,Stop Seq,Stop Name,Stop Name Marathi,LAT,LONG,Stage   
BRTS,100-U,100-U-33,33,Emcure,एमक्युअर,18.595943,73.713016,12    
BRTS,100-U,100-U-34,34,Infosys Phase 2,इन्फोसीस फेज 2,18.593672,73.708373,13    
BRTS,100-U,100-U-35,35,Power House Hinjawadi,पॉवर हाऊस हिंजवडी, 18.58916,73.705160,13    
BRTS,100-U,100-U-36,36,Tata Motors,टाटा मोटर्स,18.586665,73.699956,14    
BRTS,100-U,100-U-37,37,Tech Mahindra,टेक महेंद्रा,18.581215,73.687763,14    
BRTS,100-U,100-U-38,38,Hinjawadi Maan Phase 3,हिंजवडी माण फेज ३,18.576539,73.688389,15    
Non-BRTS,101-D,101-D-00,0,Kondhwa Bk,कोंढवा बु.,18.454190,73.890660,1    
Non-BRTS,101-D,101-D-01,1,Ramdas Maral,रामदास मरळ,18.457354,73.890823,2    
Non-BRTS,101-D,101-D-02,2,Talab Company,तालाब कंपनी,18.461705,73.890321,2    
Non-BRTS,101-D,101-D-03,3,Kondhwa Police Station,कोंढवा पोलीस स्टेशन,18.463190,73.889488,2    
Non-BRTS,101-D,101-D-04,4,Chaitanya Vidyalay,चैतन्य विद्यालय,18.468647,73.888936,2,, , ,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-05,5,Kondhwa Kh,कोंढवा खुर्द,18.473000,73.889113,3,,, ,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-06,6,Kondhwa Shala,कोंढवा शाळा,18.476033,73.889608,3,, , ,,,,,,,,,,,, ,
Non-BRTS,101-D,101-D-07,7,U Co Bank,यू को बँक,18.479033,73.890650,3,,, , ,,,,,,,, ,,,,
Non-BRTS,101-D,101-D-08,8,Kamela,कमेला,18.482842,73.890993,3,, , ,,,,,,, ,,,,,,
Non-BRTS,101-D,101-D-09,9,Lullanagar,लुल्लानगर,18.485119,73.889547,4,,  , ,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-10,10,Netajinagar,नेताजीनगर,18.488081,73.892815,4,,, ,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-11,11,Shinde Chhatri,शिंदे छत्री,18.492007,73.894471,4    
Non-BRTS,101-D,101-D-12,12,Vanwadi Bazar,वानवडी बाजार,18.495140,73.894490,4,, , ,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-13,13,Vanwadi Corner,वानवडी कॉर्नर,18.498479,73.895317,5,,, , ,,,,,,,,,,,,
Non-BRTS,101-D,101-D-14,14,Military Hospital Vanawadi ,मिल्ट्री हॉस्पिटल वानवडी,18.501818,73.890816,5,,, , ,,,,,,,,,,,,
Non-BRTS,101-D,101-D-15,15,Limb Center,लिंब सेंटर,18.503897,73.887724,5    
Non-BRTS,101-D,101-D-16,16,Mahatma Gandhi Stand,महात्मा गांधी स्टॅण्ड,18.504904,73.882404,5    
Non-BRTS,101-D,101-D-17,17,Golibar Maidan,गोळीबार मैदान,18.502202,73.876229,6,,, , ,,,,,,,,,,,,
Non-BRTS,101-D,101-D-18,18,Meera Society,मिरा सोसायटी,18.501784,73.872310,6,, ,, ,,,,,,,,,,,,
Non-BRTS,101-D,101-D-19,19,ST Vibhagiya Karyalay,एसटी विभागीय कार्यालय,18.500407,73.866537,6,,, ,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-20,20,Ghorpade Peth,घोरपडे पेठ,18.499884,73.863814,6    
Non-BRTS,101-D,101-D-21,21,Swargate Depo,स्वारगेट डेपो,18.500158,73.861415,7    
Non-BRTS,101-D,101-D-22,22,Nehru Stadium,नेहरू स्‍टेडीयम,18.501110,73.855510,7    
Non-BRTS,101-D,101-D-23,23,Sarasbaug,सारसबाग,18.503399,73.853721,7    
Non-BRTS,101-D,101-D-24,24,Madiwale Colony,माडीवाले कॉलनी,18.506132,73.852753,7    
Non-BRTS,101-D,101-D-25,25,SP College,एसपी कॉलेज,18.507086,73.851410,7    
Non-BRTS,101-D,101-D-26,26,Maharashtra Mandal,महाराष्ट्र मंडळ,18.509646,73.847397,7    
Non-BRTS,101-D,101-D-27,27,Sahitya Parishad,साहित्य परिषद,18.510901,73.845717,8    
Non-BRTS,101-D,101-D-28,28,Deccan Corner,डेक्कन कॉर्नर,18.513955,73.841853,8    
Non-BRTS,101-D,101-D-29,29,Garware College,गरवारे कॉलेज,18.512112,73.838403,8    
Non-BRTS,101-D,101-D-30,30,Sonal Hall,सोनल हॉल,18.510405,73.834854,8    
Non-BRTS,101-D,101-D-31,31,Nal Stop,नळ स्टॉप,18.508895,73.832018,8    
Non-BRTS,101-D,101-D-32,32,SNDT College,एसएनडीटी कॉलेज,18.507228,73.828329,9    
Non-BRTS,101-D,101-D-33,33,Paud Phata,पौड फाटा,18.505422,73.824295,9    
Non-BRTS,101-D,101-D-34,34,More Vidyalay,मोरे विद्यालय,18.510395,73.820072,9    
Non-BRTS,101-D,101-D-35,35,Ideal Colony,आयडियल कॉलनी,18.510170,73.817161,9    
Non-BRTS,101-D,101-D-36,36,Anandnagar Kothrud,आनंदनगर कोथरुड ,18.509647,73.814515,9    
Non-BRTS,101-D,101-D-37,37,Jai Bhavaninagar,जय भवानीनगर,18.509218,73.811546,10    
Non-BRTS,101-D,101-D-38,38,Pratiknagar,प्रतीकनगर,18.508295,73.810438,10    
Non-BRTS,101-D,101-D-39,39,Vanaj Corner,वनाज कॉर्नर,18.507359,73.807311,10    
Non-BRTS,101-D,101-D-40,40,Vanaj Company,वनाज कंपनी,18.506992,73.804100,10    
Non-BRTS,101-D,101-D-41,41,Kachara Depot Kothrud,कचरा डेपो कोथरुड ,18.507439,73.799912,10    
Non-BRTS,101-D,101-D-42,42,Bharatinagar,भारतीनगर,18.507788,73.796761,10    
Non-BRTS,101-D,101-D-43,43,Kothrud Depot,कोथरुड डेपो,18.507906,73.794907,11    
Non-BRTS,101-U,101-U-00,0,Kothrud Depot,कोथरुड डेपो,18.507906,73.794907,1    
Non-BRTS,101-U,101-U-01,1,Bharatinagar,भारतीनगर,18.507884,73.796801,1    
Non-BRTS,101-U,101-U-02,2,Kachara Depot Kothrud,कचरा डेपो कोथरुड ,18.507548,73.799954,1    
Non-BRTS,101-U,101-U-03,3,Vanaj Company,वनाज कंपनी,18.507148,73.804146,1    
Non-BRTS,101-U,101-U-04,4,Vanaj Corner,वनाज कॉर्नर,18.507473,73.807289,1    
Non-BRTS,101-U,101-U-05,5,Pratiknagar,प्रतीकनगर,18.508367,73.809884,1    
Non-BRTS,101-U,101-U-06,6,Jai Bhavaninagar,जय भवानीनगर,18.509302,73.811512,2    
Non-BRTS,101-U,101-U-07,7,Anandnagar Kothrud,आनंदनगर कोथरुड ,18.509693,73.814499,2    
Non-BRTS,101-U,101-U-08,8,Ideal Colony,आयडियल कॉलनी,18.510847,73.817492,2    
Non-BRTS,101-U,101-U-09,9,More Vidyalay,मोरे विद्यालय,18.510205,73.820845,2    
Non-BRTS,101-U,101-U-10,10,Paud Phata,पौड फाटा,18.506051,73.826171,2    
Non-BRTS,101-U,101-U-11,11,SNDT College,एसएनडीटी कॉलेज,18.507301,73.828511,3    
Non-BRTS,101-U,101-U-12,12,Nal Stop,नळ स्टॉप,18.509020,73.831963,3    
Non-BRTS,101-U,101-U-13,13,Sonal Hall,सोनल हॉल,18.510452,73.834959,3    
Non-BRTS,101-U,101-U-14,14,Garware College,गरवारे कॉलेज,18.512424,73.838716,3    
Non-BRTS,101-U,101-U-15,15,Deccan Corner,डेक्कन कॉर्नर,18.513532,73.841372,3    
Non-BRTS,101-U,101-U-16,16,Sahitya Parishad,साहित्य परिषद,18.510916,73.845720,4    
Non-BRTS,101-U,101-U-17,17,Maharashtra Mandal,महाराष्ट्र मंडळ,18.509646,73.847397,4    
Non-BRTS,101-U,101-U-18,18,SP College,एसपी कॉलेज,18.507086,73.851410,4    
Non-BRTS,101-U,101-U-19,19,Madiwale Colony,माडीवाले कॉलनी,18.506132,73.852753,4    
Non-BRTS,101-U,101-U-20,20,Hirabaug,हिराबाग,18.504350,73.854800,4    
Non-BRTS,101-U,101-U-21,21,Swargate Corner,स्वारगेट कॉर्नर,18.501730,73.857800,4    
Non-BRTS,101-U,101-U-22,22,Swargate Depo,स्वारगेट डेपो,18.500535,73.859687,5    
Non-BRTS,101-U,101-U-23,23,Ghorpade Peth,घोरपडे पेठ,18.499980,73.863851,5    
Non-BRTS,101-U,101-U-24,24,ST Vibhagiya Karyalay,एसटी विभागीय कार्यालय,18.500575,73.866515,5    
Non-BRTS,101-U,101-U-25,25,Meera Society,मिरा सोसायटी,18.501995,73.872246,5    
Non-BRTS,101-U,101-U-26,26,Golibar Maidan,गोळीबार मैदान,18.502283,73.876167,6    
Non-BRTS,101-U,101-U-27,27,Mahatma Gandhi Stand,महात्मा गांधी स्टॅण्ड,18.506507,73.882175,6    
Non-BRTS,101-U,101-U-28,28,Limb Center,लिंब सेंटर,18.503999,73.887658,6    
Non-BRTS,101-U,101-U-29,29,Military Hospital Vanawadi ,मिल्ट्री हॉस्पिटल वानवडी,18.501740,73.891020,6    
Non-BRTS,101-U,101-U-30,30,Vanwadi Corner,वानवडी कॉर्नर,18.498444,73.895615,7    
Non-BRTS,101-U,101-U-31,31,Vanwadi Bazar,वानवडी बाजार ,18.495112,73.894592,7    
Non-BRTS,101-U,101-U-32,32,Shinde Chhatri,शिंदे छत्री,18.492664,73.894238,7    
Non-BRTS,101-U,101-U-33,33,Netajinagar,नेताजीनगर,18.488081,73.892815,7    
Non-BRTS,101-U,101-U-34,34,Lullanagar,लुल्लानगर,18.485188,73.889628,8    
Non-BRTS,101-U,101-U-35,35,Kamela,कमेला,18.482385,73.891223,8    
Non-BRTS,101-U,101-U-36,36,U Co Bank,यू को बँक,18.478716,73.890724,8    
Non-BRTS,101-U,101-U-37,37,Kondhwa Shala,कोंढवा शाळा,18.476982,73.889850,8    
Non-BRTS,101-U,101-U-38,38,Kondhwa Kh,कोंढवा खुर्द,18.472810,73.889162,9    
Non-BRTS,101-U,101-U-39,39,Chaitanya Vidyalay,चैतन्य विद्यालय,18.468639,73.889038,9    
Non-BRTS,101-U,101-U-40,40,Kondhwa Police Station,कोंढवा पोलीस स्टेशन,18.462845,73.889767,9    
Non-BRTS,101-U,101-U-41,41,Talab Company,तालाब कंपनी,18.461805,73.890288,9    
Non-BRTS,101-U,101-U-42,42,Ramdas Maral,रामदास मरळ,18.457354,73.890823,10    
Non-BRTS,101-U,101-U-43,43,Kondhwa Bk,कोंढवा बु.,18.454190,73.890660,11    
Non-BRTS,102-D,102-D-00,0,Lohgaon,लोहगांव,18.595764,73.924774,1    
Non-BRTS,102-D,102-D-01,1,Panyachi Taki Lohgaon,पाण्याची टाकी लोहगाव ,18.593530,73.922612,1    
